area,city,companyName,eduLevel,jobName,recruieCount,salary,welfare,workingExp
未知,太原,北京百知教育科技有限公司,大专,java人工智能（python)开发签约委培,招22人,7.8千-1.6万,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补",经验不限
未知,太原,山西智游臻龙互联网科技有限公司,大专,python开发实习生,招8人,4千-8千,"周末双休,五险一金,年底双薪,通讯补助,绩效奖金,弹性工作,员工旅游,节日福利",经验不限
未知,太原,山西华软教育科技有限公司,大专,python实习生,招5人,4千-6千,"创业公司,五险一金,周末双休,弹性工作,补充医疗保险,节日福利",经验不限
未知,太原,山西智游臻龙互联网科技有限公司,本科,Python讲师,招4人,8千-1万,"五险一金,节日福利,周末双休,包住,带薪年假,定期体检,加班补助,交通补助",1-3年
未知,太原,山西华软教育科技有限公司,大专,python程序员,招5人,4千-6千,"创业公司,周末双休,五险一金,每年多次调薪,弹性工作,补充医疗保险,节日福利",经验不限
未知,太原,中青才智教育投资(北京)有限公司,大专,JAVA+python智能开发实习生,招22人,8千-1.6万,"五险一金,年底双薪,加班补助,全勤奖,房补,带薪年假,员工旅游",经验不限
小店区,太原,精英数智科技股份有限公司,本科,python开发工程师（五险一金+双休）,招2人,4千-8千,"节日福利,五险一金,绩效奖金,通讯补助,带薪年假,补充医疗保险,定期体检,员工旅游",1-3年
未知,太原,比自特株式会社,本科,"对日软件开发(SAP,IOS,Python)",招10人,1.2万-2.4万,"创业公司,年底双薪,交通补助,定期体检,试用期全额",3-5年
未知,太原,太原优游宝贝教育科技有限公司,本科,scratch编程/Python编程/单片机机器人教师,招3人,4千-6千,"全勤奖,绩效奖金,员工旅游,五险一金,年终分红,包住,带薪年假,节日福利",1-3年
未知,太原,北京英视睿达科技有限公司,本科,Python开发工程师 ,招1人,7千-1万,"周末双休,五险一金,餐补,交通补助,每年多次调薪,健身俱乐部,弹性工作,节日福利",经验不限
小店区,太原,山西起运未来信息科技有限公司,本科,python开发,招1人,6千-8千,"五险一金,绩效奖金,餐补,加班补助,交通补助,通讯补助,采暖补贴,周末双休",3-5年
未知,太原,北京筑龙信息技术有限责任公司太原分公司,本科,Python工程师,招2人,8千-1万,"五险一金,周末双休,定期体检,节日福利,员工旅游,年底双薪,带薪年假,公司重点项目",3-5年
未知,太原,山西智能大数据产业技术创新研究院,本科,python讲师,招3人,8千-1万,"五险一金,绩效奖金,带薪年假,全勤奖",1-3年
未知,太原,山西合力创新科技股份有限公司,大专,软件实施工程师,招1人,3千-5千,"定期体检,节日福利,五险一金,通讯补助,绩效奖金,加班补助",1-3年
未知,太原,罗克佳华科技集团,本科,测试工程师,招5人,4千-7千,"全勤奖,餐补,带薪年假,节日福利,周末双休,五险一金",1-3年
未知,太原,山西瑞贝克医疗设备有限公司,本科,软件工程师,招1人,6千-8千,"五险一金,年底双薪,节日福利,高温补贴,周末双休",1-3年
小店区,太原,精英数智科技股份有限公司,硕士,算法工程师（五险一金+双休）,招5人,4千-8千,"节日福利,五险一金,绩效奖金,通讯补助,带薪年假,补充医疗保险,定期体检,员工旅游",经验不限
未知,太原,山西以上网络科技有限公司,本科,前端（双休）,招1人,4千-6千,"五险一金,节日福利,绩效奖金,加班补助,带薪年假",1-3年
未知,太原,山西横纵象限健康咨询有限公司,本科,软件工程师/后端开发【五险一金】,招2人,6千-8千,"每年多次调薪,五险一金,全勤奖,年底双薪,周末双休,创业公司,弹性工作,节日福利",1-3年
未知,太原,山西光大投资管理集团有限公司,本科,服务器运维工程师,招1人,4千-6千,"五险一金,绩效奖金,全勤奖,通讯补助",3-5年
小店区,太原,山西普罗迪克科技有限公司,本科,测试工程师,招1人,4千-6千,"五险一金,带薪年假,节日福利,绩效奖金",3-5年
未知,太原,山西横纵象限健康咨询有限公司,本科,软件工程师/前端开发【五险一金】,招2人,6千-8千,"每年多次调薪,五险一金,全勤奖,年底双薪,周末双休,创业公司,弹性工作,节日福利",1-3年
未知,太原,山西优培教育科技有限公司,大专,少儿编程教师/程序员+五险,招10人,4千-8千,"每年多次调薪,绩效奖金,全勤奖,包住,餐补,员工旅游,节日福利",经验不限
万柏林区,太原,山西中天云泰信息技术有限公司,本科,网络安全工程师,招10人,4千-6千,"五险一金,加班补助,节日福利,员工旅游,周末双休",经验不限
小店区,太原,精英数智科技股份有限公司,本科,系统工程师（五险一金+双休）,招1人,4千-8千,"节日福利,五险一金,绩效奖金,通讯补助,带薪年假,补充医疗保险,定期体检,员工旅游",1-3年
未知,太原,山西智能大数据产业技术创新研究院,本科,大数据老师,招3人,8千-1万,"五险一金,绩效奖金,带薪年假,全勤奖",3-5年
未知,太原,太原源合供应链管理有限公司,本科,系统运维经理,招1人,4千-6千,"创业公司,每年多次调薪,周末双休,绩效奖金,全勤奖,带薪年假,节日福利",3-5年
未知,太原,山西新华电脑职业培训学校,大专,网络工程讲师,招1人,4千-6千,"五险一金,年底双薪,包住,餐补,带薪年假,员工旅游,节日福利,绩效奖金",经验不限
小店区,太原,中标软件有限公司,本科,虚拟化研发工程师（太原）,招1人,1万-2万,"五险一金,绩效奖金,交通补助,餐补,通讯补助,弹性工作,补充医疗保险,定期体检",经验不限
未知,太原,国科晋云技术有限公司,硕士,研发工程师（气象应用方向）,招1人,2.5万-3万,"五险一金,定期体检,交通补助,通讯补助,采暖补贴,餐补,绩效奖金",1-3年
小店区,太原,太原磅管家科技有限公司,本科,python,招2人,6千-1万,"五险一金,年终分红,全勤奖,弹性工作,节日福利,定期团建,公司重点项目",1-3年
未知,太原,广电银通金融电子科技有限公司,大专,驻场工程师,招50人,3千-5千,"五险一金,补充医疗保险,高温补贴,绩效奖金,通讯补助",1-3年
未知,太原,中标软件有限公司,大专,技术支持工程师（太原）,招20人,8千-1.6万,"五险一金,绩效奖金,交通补助,餐补,通讯补助,弹性工作,补充医疗保险,定期体检",经验不限
未知,太原,北京英视睿达科技有限公司,本科,环境咨询工程师,招1人,8千-1万,"周末双休,五险一金,餐补,交通补助,每年多次调薪,健身俱乐部,弹性工作,节日福利",经验不限
未知,太原,山西普罗迪克科技有限公司,大专,驻外运维工程师,招2人,4千-6千,"定期体检,节日福利,全勤奖,每年多次调薪,年底双薪,带薪年假,员工旅游",1-3年
未知,太原,精英数智科技股份有限公司,本科,高级软件安全工程师  ,招1人,8千-1万,"五险一金,绩效奖金,餐补,定期体检,节日福利",3-5年
未知,太原,山西华软教育科技有限公司,大专,Python开发实习生,招5人,4千-6千,"五险一金,绩效奖金,全勤奖,弹性工作,交通补助,补充医疗保险,节日福利",经验不限
未知,太原,比比网络科技有限责任公司,本科,运维经理,招1人,8千-1.5万,"五险一金,绩效奖金,加班补助,交通补助,通讯补助,带薪年假,员工旅游,节日福利",3-5年
未知,太原,北京晓羊教育科技有限公司,大专,售前工程师,招1人,5千-7千,"周末双休,五险一金,餐补,补充医疗保险",3-5年
未知,太原,北京国舜科技有限公司,大专,渗透测试工程师,招1人,1万-2万,"五险一金,交通补助,餐补,带薪年假,员工旅游,定期体检",1-3年
未知,太原,山西安盛邦科技有限公司,本科,软件工程师  赴日(日本),招10人,2万-3万,"五险一金,周末双休,加班补助,节日福利,项目奖金",1-3年
未知,太原,北京筑龙信息技术有限责任公司太原分公司,本科,数据挖掘工程师,招1人,6千-8千,"五险一金,周末双休,定期体检,节日福利,员工旅游",1-3年
小店区,太原,山西科泰航天防务技术股份有限公司,本科,大数据开发工程师,招2人,5千-1万,"五险一金,餐补,带薪年假,节日福利,周末双休",1-3年
万柏林区,太原,山西美好蕴育生物科技有限责任公司,本科,运维工程师,招1人,4千-7千,"五险一金,年底双薪,餐补,交通补助,带薪年假,通讯补助,周末双休,公司重点项目",1-3年
未知,太原,山西鸿顺通科技有限公司,本科,AI人工智能开发工程师(五险一金+包吃住),招2人,6千-8千,"五险一金,年终分红,餐补,采暖补贴",1-3年
迎泽区,太原,赞同科技股份有限公司,本科,java工程师,招3人,5千-1万,"五险一金,年底双薪,带薪年假,定期体检,每年多次调薪,餐补",1-3年
未知,太原,Uniqsys优尼卡日本株式会社,本科,对日java/.net/软件开发工程师,招10人,4千-8千,"加班补助,包住,交通补助,房补,住房补贴,无试用期,周末双休,定期团建",经验不限
未知,太原,太原童程童美教育科技有限公司,本科,少儿编程老师（上市公司+五险一金+高薪）,招1人,4千-8千,"五险一金,加班补助,餐补,带薪年假,节日福利,股票期权,绩效奖金",经验不限
未知,太原,北京筑龙信息技术有限责任公司太原分公司,本科,数据分析工程师,招1人,8千-1万,"五险一金,周末双休,定期体检,节日福利,员工旅游",1-3年
未知,太原,太原源合供应链管理有限公司,本科,系统运维工程师,招1人,6千-8千,"创业公司,周末双休,绩效奖金,全勤奖,带薪年假,节日福利,带团队",3-5年
未知,太原,北京奇安信科技有限公司,本科,渗透测试工程师(000465),招1人,1.8万-3万,"五险一金,餐补,补充医疗保险,节日福利,周末双休,健身俱乐部",3-5年
未知,太原,山西大昌汽车集团有限公司,本科,数据运营,招1人,8千-1万,"五险一金,绩效奖金,加班补助,餐补,带薪年假,节日福利,创业公司,大牛带队",1-3年
未知,太原,山西世纪启航教育科技集团有限公司,大专,高级软件工程师java,招1人,8千-1.2万,"五险一金,带薪年假,节日福利,绩效奖金,不加班",3-5年
