city,companyName,eduLevel,jobName,recruieCount,salary,workingExp
北京,北京百知教育科技有限公司,大专,Python（AI）开发实习生,招22人,6千-1.2万,经验不限
北京,天地阳光通信科技（北京）有限公司,本科,C++音视频高级工程师,招10人,1.5万-3万,3-5年
北京,虎特信息科技(上海)有限公司北京分公司,本科,Python架构师/高级研发工程师,招1人,2.2万-3.2万,5-10年
北京,珺馨科技有限公司,本科,python课程设计,招2人,1万-1.5万,1-3年
北京,方正国际软件（北京）有限公司,本科,C++开发工程师,招1人,面议,1-3年
北京,启迪之星(北京)科技企业孵化器有限公司,大专,python（数据分析）,招1人,8千-1万,1-3年
北京,中青才智教育投资(北京)有限公司,大专,Python（人工智能方向）开发实习生,招22人,8千-1.6万,经验不限
北京,北京知呱呱科技服务有限公司,本科,Python高级爬虫工程师,招1人,1.5万-2.5万,3-5年
北京,我爱我家集团,本科,Python开发,招2人,2万-3.5万,5-10年
北京,北京爸爸的选择科技有限公司,本科,python工程师,招7人,1.2万-2.4万,经验不限
北京,北京华信智原教育技术有限公司,大专,Python老师,招1人,1.5万-2万,经验不限
北京,北京北大软件工程股份有限公司,本科,高级JAVA开发,招5人,1.5万-3万,5-10年
北京,北京赛宁网安科技有限公司,本科,中级Python开发工程师,招3人,1.5万-2万,3-5年
北京,我爱我家集团,本科,python开发工程师,招2人,3万-5万,5-10年
北京,包头市包银消费金融股份有限公司,本科,大数据运维(J10182),招1人,1万-2万,3-5年
北京,北京远禾科技有限公司,学历不限,渗透测试工程师,招3人,6千-1万,经验不限
北京,北京简单科技有限公司,本科,Python开发工程师,招3人,1.2万-2.3万,3-5年
北京,北京安码科技有限公司,本科,网络安全产品经理,招1人,2万-4万,5-10年
北京,北京比格大数据有限公司,本科,后端Golang工程师,招3人,1万-2万,1-3年
北京,美利金融,学历不限,数据分析师-风控方向,招1人,1万-2万,1-3年
北京,北京典金球科技有限公司,本科,数据分析 BI,招1人,7千-1万,1-3年
北京,海保人寿保险股份有限公司,本科,运维处理岗,招1人,8千-1.5万,3-5年
北京,北京海德康健信息科技有限公司,本科,高级前端开发工程师,招1人,2万-3万,5-10年
北京,北京益财达科技有限公司,本科,大数据项目架构师、高级开发工程师,招1人,1.5万-2万,5-10年
北京,北京益财达科技有限公司,本科,商业智能BI开发工程师,招2人,1万-2万,5-10年
北京,包头市包银消费金融股份有限公司,本科,数据分析师(J10177),招1人,1万-1.5万,1-3年
北京,乐融多源(北京)科技有限公司,本科,大数据开发工程师,招3人,2万-3万,3-5年
北京,北大青鸟阜成门校区,本科,云计算讲师,招1人,1.5万-2万,3-5年
北京,长沙海格北斗信息技术有限公司,硕士,AI算法工程师,招2人,3万-5万,3-5年
北京,深圳市凡购网络科技有限公司,大专,测试工程师,招1人,1万-1.5万,3-5年
北京,美团点评,本科,自动驾驶高精地图 -工具研发-无人车,招3人,面议,1-3年
北京,北京分享智能系统集成有限公司,本科,高级DBA,招1人,1.5万-2万,3-5年
北京,美团点评,本科,高精地图研发工程师-无人车,招2人,面议,3-5年
北京,应急管理部信息研究院,本科,web前端工程师,招3人,1.5万-2万,3-5年
北京,乔鼎(上海)计算机科技有限公司,本科,web 开发工程师 ,招1人,8千-1万,1-3年
北京,启迪国信科技有限公司,本科,云开发工程师(000941),招1人,1.5万-2万,5-10年
北京,美团点评,本科,NLP算法工程师/专家/研究员,招2人,面议,1-3年
北京,亚联创新科技有限责任公司,本科,Web前端开发工程师(J10598),招3人,1万-1.5万,3-5年
北京,溢迈克斯(北京)商务咨询有限公司,本科,运维总监,招1人,2万-4万,3-5年
北京,美团点评,本科,高级算法工程师,招3人,面议,3-5年
北京,北京爱赋能科技有限公司,本科,系统架构师,招1人,1万-1.5万,5-10年
北京,美团点评,本科,开发-数据开发,招1人,面议,3-5年
北京,北京正义网络传媒有限公司,大专,网络工程师,招1人,8千-1万,1-3年
北京,北京明略软件系统有限公司,学历不限,Java高级工程师(J10139),招2人,2万-3万,经验不限
北京,中央编办事业发展中心(政务和公益机构域名注册管理中心),硕士,系统工程师,招2人,1万-2万,经验不限
北京,北京舜天龙兴信息技术有限公司,本科,算法工程师,招1人,1万-1.5万,3-5年
北京,青松智慧(北京)科技有限公司,本科,高级机器学习研发工程师,招1人,2万-4万,1-3年
北京,美团点评,本科,IaaS-Java技术专家,招2人,面议,3-5年
北京,北京畅享互联科技有限公司,大专,中级java工程师,招2人,1万-1.5万,3-5年
北京,北京迪浩永辉技术有限公司,本科,c++软件工程师,招2人,1万-1.5万,1-3年
北京,北京自如生活资产管理有限公司,本科,测试工程师（高级）,招15人,1.5万-3万,5-10年
北京,北京汇通互联科技有限公司,大专,php开发工程师,招1人,1万-1.5万,3-5年
北京,北京狸米科技有限公司,硕士,AI工程技术经理,招1人,3万-5万,5-10年
北京,英泰伟业信息技术股份有限公司/英泰伟业科技(北京)有限公司,本科,高级图像识别工程师,招2人,2万-3万,3-5年
北京,北京网录科技有限公司,本科,高级软件工程师（Go / C /C++,招1人,2.5万-5万,3-5年
北京,北京网录科技有限公司,本科,高级Go开发工程师,招4人,3万-5万,5-10年
北京,英泰伟业信息技术股份有限公司/英泰伟业科技(北京)有限公司,本科,高级图像处理工程师,招1人,3万-5万,3-5年
北京,博淼生物科技(北京)有限公司,硕士,生物信息分析主管,招1人,1万-1.5万,1-3年
北京,中税鼎信科技有限公司,本科,python研发工程师,招5人,1万-1.5万,3-5年
北京,领聘(北京)企业管理有限公司,大专,招python开发工程师,招1人,1万-2万,经验不限
北京,北京九星惟诚供应链信息技术有限公司,本科,python,招2人,8千-1.2万,1-3年
北京,北京大美天地信息技术有限公司,本科,信息安全工程师,招1人,1万-1.5万,1-3年
北京,北京思能科贸有限公司,本科,IT技术人员-java/php/python,招5人,4千-6千,1-3年
北京,北京多维视通技术有限公司,本科,python开发工程师,招1人,1.5万-2.5万,5-10年
北京,北京创源微致软件有限公司,本科,python后端开发工程师,招5人,1.5万-3万,3-5年
北京,国体智慧体育技术创新中心(北京)有限公司,本科,python数据工程师,招1人,6千-8千,1-3年
北京,北京托普云数据技术有限公司,学历不限,Java/python软件开发实习生,招1人,8千-1万,经验不限
北京,炬牛科技(北京)有限公司,大专,python工程师,招1人,1.2万-1.8万,3-5年
北京,北京华胜天成科技股份有限公司,本科,Python web 开发工程师,招5人,1.5万-2万,3-5年
北京,华信永益(北京)信息技术有限公司,本科,python开发,招3人,2万-3万,5-10年
北京,北京多彩互动广告有限公司,本科,python开发工程师,招1人,1.5万-3万,1-3年
北京,北京布科思科技有限公司,本科,高级python开发工程师（5年后端开发）,招1人,1万-2万,5-10年
北京,北京华信智原教育技术有限公司海淀科技分公司,大专,Python 讲师,招3人,2万-3万,1-3年
北京,炬牛科技(北京)有限公司,学历不限,高级python web 工程师,招1人,1.5万-2万,5-10年
北京,中国广视索福瑞媒介研究有限责任公司,本科,python爬虫工程师,招1人,6千-8千,经验不限
北京,北京网络职业学院,大专,Python 数据分析/人工智能讲师,招1人,1.8万-2.5万,5-10年
北京,珺馨科技有限公司,本科,Python课程研发,招1人,1万-1.5万,1-3年
北京,北京畅捷通支付技术有限公司,本科,python开发工程师,招1人,1万-2万,3-5年
北京,北京艾的教育科技股份有限公司,大专,python后端架构师,招1人,2.5万-4万,3-5年
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,python开发工程师,招1人,面议,5-10年
北京,北京哈工大计算机网络与信息安全技术研究中心,本科,Python工程师,招1人,8千-1.6万,经验不限
北京,北京创新乐知网络技术有限公司,本科,python讲师,招1人,1.5万-3万,3-5年
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,高级零售系统工程师 （Python工程师）,招1人,面议,5-10年
北京,郑州大咖信息科技有限公司,本科,python工程师,招2人,1万-1.5万,1-3年
北京,南京海翊数据技术有限公司,本科,Python开发,招1人,1万-1.5万,5-10年
北京,北京百乘传媒技术有限公司,本科,高级Python工程师,招1人,2万-4万,3-5年
北京,北京原子钟信息科技有限公司,本科,python开发工程师,招1人,1.5万-2.5万,3-5年
北京,北京辰安科技股份有限公司,本科,软件开发工程师 （Python方向）(001631),招1人,1.5万-2.5万,3-5年
北京,中青才智教育投资(北京)有限公司,大专,JAVA+python智能开发实习生,招22人,8千-1.6万,经验不限
北京,北京金信润天信息技术股份有限公司,本科,python运维开发工程师,招10人,8千-1.5万,5-10年
北京,网云易通(北京)科技有限公司,本科,高级测试工程师,招2人,1万-1.8万,5-10年
