公司名称,职位名称,薪资,所在城市,公司所在区域,工作经验,学历要求,招聘人数,公司福利
北京百知教育科技有限公司,Python（AI）开发实习生,6千-1.2万,太原,未知,经验不限,大专,招22人,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补"
太原磅管家科技有限公司,python,4千-6千,太原,小店区,1-3年,本科,招2人,"五险一金,年终分红,全勤奖,弹性工作,节日福利,定期团建"
山西智游臻龙互联网科技有限公司,python开发实习生,4千-8千,太原,未知,经验不限,大专,招8人,"周末双休,五险一金,年底双薪,通讯补助,绩效奖金,弹性工作,员工旅游,节日福利"
山西起运未来信息科技有限公司,python开发,6千-8千,太原,小店区,3-5年,本科,招1人,"五险一金,绩效奖金,餐补,加班补助,交通补助,通讯补助,采暖补贴,周末双休"
山西智游臻龙互联网科技有限公司,Python讲师,8千-1万,太原,未知,1-3年,本科,招4人,"五险一金,节日福利,周末双休,包住,带薪年假,定期体检,加班补助,交通补助"
精英数智科技股份有限公司,python开发工程师（五险一金+双休）,4千-8千,太原,小店区,1-3年,本科,招2人,"节日福利,五险一金,绩效奖金,通讯补助,带薪年假,补充医疗保险,定期体检,员工旅游"
太原优游宝贝教育科技有限公司,scratch编程/Python编程/单片机机器人教师,4千-6千,太原,未知,1-3年,本科,招3人,"全勤奖,绩效奖金,员工旅游,五险一金,年终分红,包住,带薪年假,节日福利"
山西华软教育科技有限公司,python程序员,4千-6千,太原,未知,经验不限,大专,招5人,"创业公司,周末双休,五险一金,每年多次调薪,弹性工作,补充医疗保险,节日福利"
比自特株式会社,"对日软件开发(SAP,IOS,Python)",1.2万-2.4万,太原,未知,3-5年,本科,招10人,"创业公司,年底双薪,交通补助,定期体检,试用期全额"
山西智游臻龙互联网科技有限公司,网络爬虫工程师(Python)带薪,6千-8千,太原,未知,经验不限,大专,招5人,"每年多次调薪,年终分红,绩效奖金,带薪年假,弹性工作,员工旅游,节日福利,交通补助"
北京英视睿达科技有限公司,Python开发工程师 ,7千-1万,太原,未知,经验不限,本科,招1人,"周末双休,五险一金,餐补,交通补助,每年多次调薪,健身俱乐部,弹性工作,节日福利"
山西智能大数据产业技术创新研究院,python讲师,8千-1万,太原,未知,1-3年,本科,招3人,"五险一金,绩效奖金,带薪年假,全勤奖"
太原龙为电子科技有限公司,python开发工程师,4千-8千,太原,未知,1-3年,大专,招2人,"五险一金,餐补,补充医疗保险,通讯补助,员工旅游,带薪年假,交通补助,绩效奖金"
北京筑龙信息技术有限责任公司太原分公司,Python工程师,8千-1万,太原,未知,3-5年,本科,招2人,"五险一金,周末双休,定期体检,节日福利,员工旅游,年底双薪,带薪年假,公司重点项目"
山西硬汉网络科技有限公司,python工程师,6千-8千,太原,未知,1-3年,本科,招1人,"每年多次调薪,五险一金,绩效奖金,年终分红,全勤奖,带薪年假,员工旅游,节日福利"
北京华云天下科技有限公司,算法工程师,0.9万-1.9万,太原,未知,1-3年,大专,招2人,"五险一金,节日福利,带薪年假,绩效奖金,每年多次调薪"
山西以上网络科技有限公司,前端（双休）,4千-6千,太原,未知,1-3年,本科,招1人,"五险一金,节日福利,绩效奖金,加班补助,带薪年假"
罗克佳华科技集团,测试工程师,4千-7千,太原,未知,1-3年,本科,招5人,"全勤奖,餐补,带薪年假,节日福利,周末双休,五险一金"
精英数智科技股份有限公司,算法工程师（五险一金+双休）,4千-8千,太原,小店区,经验不限,硕士,招5人,"节日福利,五险一金,绩效奖金,通讯补助,带薪年假,补充医疗保险,定期体检,员工旅游"
山西瑞贝克医疗设备有限公司,软件工程师,6千-8千,太原,未知,1-3年,本科,招1人,"五险一金,年底双薪,节日福利,高温补贴,周末双休"
康惠中天(北京)科技有限公司山西分公司,运维工程师,4千-6千,太原,未知,1-3年,本科,招1人,"五险一金,绩效奖金,年终分红,交通补助,餐补,带薪年假,周末双休,通讯补助"
山西横纵象限健康咨询有限公司,软件工程师/后端开发【五险一金】,6千-8千,太原,未知,1-3年,本科,招2人,"每年多次调薪,五险一金,全勤奖,年底双薪,周末双休,创业公司,弹性工作,节日福利"
山西横纵象限健康咨询有限公司,软件工程师/前端开发【五险一金】,6千-8千,太原,未知,1-3年,本科,招2人,"每年多次调薪,五险一金,全勤奖,年底双薪,周末双休,创业公司,弹性工作,节日福利"
山西普罗迪克科技有限公司,测试工程师,4千-6千,太原,小店区,3-5年,本科,招1人,"五险一金,带薪年假,节日福利,绩效奖金"
山西光大投资管理集团有限公司,服务器运维工程师,4千-6千,太原,未知,3-5年,本科,招1人,"五险一金,绩效奖金,全勤奖,通讯补助"
精英数智科技股份有限公司,系统工程师（五险一金+双休）,4千-8千,太原,小店区,1-3年,本科,招1人,"节日福利,五险一金,绩效奖金,通讯补助,带薪年假,补充医疗保险,定期体检,员工旅游"
山西优培教育科技有限公司,少儿编程教师/程序员+五险,4千-8千,太原,未知,经验不限,大专,招10人,"每年多次调薪,绩效奖金,全勤奖,包住,餐补,员工旅游,节日福利"
山西中天云泰信息技术有限公司,网络安全工程师,4千-6千,太原,万柏林区,经验不限,本科,招10人,"五险一金,加班补助,节日福利,员工旅游,周末双休"
中标软件有限公司,虚拟化研发工程师（太原）,1万-2万,太原,小店区,经验不限,本科,招1人,"五险一金,绩效奖金,交通补助,餐补,通讯补助,弹性工作,补充医疗保险,定期体检"
国科晋云技术有限公司,研发工程师（气象应用方向）,2.5万-3万,太原,未知,1-3年,硕士,招1人,"五险一金,定期体检,交通补助,通讯补助,采暖补贴,餐补,绩效奖金"
山西智能大数据产业技术创新研究院,大数据老师,8千-1万,太原,未知,3-5年,本科,招3人,"五险一金,绩效奖金,带薪年假,全勤奖"
太原源合供应链管理有限公司,系统运维经理,4千-6千,太原,未知,3-5年,本科,招1人,"创业公司,每年多次调薪,周末双休,绩效奖金,全勤奖,带薪年假,节日福利"
中标软件有限公司,技术支持工程师（太原）,8千-1.6万,太原,未知,经验不限,大专,招20人,"五险一金,绩效奖金,交通补助,餐补,通讯补助,弹性工作,补充医疗保险,定期体检"
山西新华电脑职业培训学校,网络工程讲师,4千-6千,太原,未知,经验不限,大专,招1人,"五险一金,年底双薪,包住,餐补,带薪年假,员工旅游,节日福利,绩效奖金"
广电银通金融电子科技有限公司,驻场工程师,3千-5千,太原,未知,1-3年,大专,招50人,"五险一金,补充医疗保险,高温补贴,绩效奖金,通讯补助"
中标软件有限公司,Linux系统研发工程师（太原）,8千-1.6万,太原,小店区,经验不限,本科,招5人,"五险一金,绩效奖金,交通补助,餐补,弹性工作,补充医疗保险,定期体检,高温补贴"
山西普罗迪克科技有限公司,驻外运维工程师,4千-6千,太原,未知,1-3年,大专,招2人,"定期体检,节日福利,全勤奖,每年多次调薪,年底双薪,带薪年假,员工旅游"
北京英视睿达科技有限公司,环境咨询工程师,8千-1万,太原,未知,经验不限,本科,招1人,"周末双休,五险一金,餐补,交通补助,每年多次调薪,健身俱乐部,弹性工作,节日福利"
北京晓羊教育科技有限公司,售前工程师,5千-7千,太原,未知,3-5年,大专,招1人,"周末双休,五险一金,餐补,补充医疗保险"
精英数智科技股份有限公司,高级软件安全工程师  ,8千-1万,太原,未知,3-5年,本科,招1人,"五险一金,绩效奖金,餐补,定期体检,节日福利"
北京筑龙信息技术有限责任公司太原分公司,数据挖掘工程师,6千-8千,太原,未知,1-3年,本科,招1人,"五险一金,周末双休,定期体检,节日福利,员工旅游"
山西科泰航天防务技术股份有限公司,大数据开发工程师,5千-1万,太原,小店区,1-3年,本科,招2人,"五险一金,餐补,带薪年假,节日福利,周末双休"
比比网络科技有限责任公司,运维经理,8千-1.5万,太原,未知,3-5年,本科,招1人,"五险一金,绩效奖金,加班补助,交通补助,通讯补助,带薪年假,员工旅游,节日福利"
山西鸿顺通科技有限公司,AI人工智能开发工程师(五险一金+包吃住),6千-8千,太原,未知,1-3年,本科,招2人,"五险一金,年终分红,餐补,采暖补贴"
北京国舜科技有限公司,渗透测试工程师,1万-2万,太原,未知,1-3年,大专,招1人,"五险一金,交通补助,餐补,带薪年假,员工旅游,定期体检"
太原炼石云智科技有限公司,少儿编程老师,8千-1万,太原,未知,经验不限,本科,招10人,"创业公司,全勤奖,弹性工作,绩效奖金,年终分红,带薪年假,餐补,股票期权"
云极互动（北京）科技有限公司太原办事处 ,软件研发工程师,4千-6千,太原,小店区,1-3年,本科,招2人,"五险一金,周末双休,员工旅游,项目奖金,公司重点项目,定期团建"
山西信合通信息技术有限公司,大数据分析研发工程师,4千-6千,太原,未知,经验不限,大专,招1人,
山西安盛邦科技有限公司,软件工程师  赴日(日本),2万-3万,太原,未知,1-3年,本科,招10人,"五险一金,周末双休,加班补助,节日福利,项目奖金"
山西致远慧图科技有限公司,深度学习算法工程师,1万-1.5万,太原,未知,1-3年,硕士,招2人,"弹性工作,节日福利,大牛带队,周末双休,定期团建,每年多次调薪,带薪年假"
山西毓升前沿电子科技有限公司,大数据工程师,2万-4万,太原,未知,3-5年,本科,招1人,"五险一金,绩效奖金,股票期权"
晋城银行股份有限公司,信贷风险策略岗,面议,太原,未知,1-3年,硕士,招1人,"周末双休,五险一金,绩效奖金,带薪年假,节日福利"
山西明佳电子技术有限公司,软件工程师,3千-6千,太原,未知,经验不限,大专,招3人,"五险一金,年底双薪,绩效奖金,节日福利,带薪年假"
山西宗轩装饰设计工程有限公司,PHP工程师,5千-8千,太原,未知,1-3年,学历不限,招5人,"节日福利,周末双休,全勤奖,通讯补助,加班补助,绩效奖金"
山西明佳电子技术有限公司,系统工程师linux,3千-6千,太原,未知,经验不限,大专,招3人,"五险一金,年底双薪,绩效奖金,带薪年假,节日福利"
山西致远慧图科技有限公司,深度学习算法工程师,1万-1.5万,太原,未知,1-3年,硕士,招2人,"弹性工作,大牛带队,定期团建,每年多次调薪,五险一金"
山西见声科技有限公司,语音识别机器学习算法工程师,1万-1.5万,太原,未知,1-3年,本科,招2人,"创业公司,周末双休,餐补,股票期权,节日福利,入职五险,带薪年假,五险一金"
太原市麒达环保工程技术有限公司,软件高级工程师,6千-1.2万,太原,万柏林区,1-3年,本科,招2人,"五险一金,交通补助,通讯补助,节日福利"
